Feature_ID	Language_ID	Feature	Value	Answer	Comment	Source	Possible Values	Suggested standardised comments
SD10_0	sika1262	Are there specific vocabularies for hunting or use in the presence of avoidance kin?	1	Yes		nan	0:No;1:Yes	
SD10_1	sika1262	Is there ritual speech?	1	Yes		nan	0:No;1:Yes	
SD10_2	sika1262	Does the ritual speech involve parallellisms, dual symbolic categories?	1	Yes		nan	0:No;1:Yes	
SD10_3	sika1262	Is the ritual language known by everyone (or just by traditional leaders)?	0	No	Some of the words are from other dialects, or from an older variety of the language	nan	0:No;1:Yes	
SD10_4	sika1262	Are there ritual songs?	1	Yes	"When they take down the rice (of last year; that is in the rumah adat), they sing a song Tena Lau Kese, ""A boat that is sailing""."	nan	1:Yes	
SD10_5	sika1262	Are there ritual dances?	1	Yes	Kong gitong	nan	1:Yes	
SD10_6	sika1262	Is the language of the ritual songs a language you understand?	11	some	Some songs are in a different language (see next question's notes). Some songs are in an old version of Hewa that most people don't understand. But there are also songs in Hewa: Bau Bala is a Hewa song in Hewa.	nan	1:Yes;11:some;10:yes > no	
SD10_7	sika1262	Is the language of the ritual songs a foreign language?	1	Yes	Songs with words from Boru (if Boru is a different language). An example is recorded of a song in Boru Kedang. This song is sung when treading the rice after harvest.The song Tena Lau Kese (10.4) is in the Mohang language. 	nan	0:No;1:Yes	
SD10_8	sika1262	Do women and men dance together?	1	Yes	4 men and 6 women	nan	0:No;1:Yes	
SD10_9	sika1262	Are there traditional ceremonies where men and women must be separated?	1	Yes	sakalele: male's dance, lusi lerang: women's dance	nan	0:No;1:Yes	
SD11_0	sika1262	Is there a ceremony relating to planting/harvesting?	1	Yes	Kebek bakur: after harvesting, pleba watar: after harvesting corn	nan	1:Yes	
SD11_1	sika1262	Did your ancestors arrive in boats?	2	some	Some arrived in boats, some came from Boru, Lamaholot or Sika, and some came out of the ground. The Hewa ancestors are 2 kings: one married with a Maumere woman (in Muhang) and one went to Larantuka, travelling across the mountains, but never quite got there and stayed in Hewa. Muhang was used as a language before, but now it's gone from Hewa.	nan	0:No;1:Yes;2:some	
SD11_10	sika1262	Does sacrifice involve feeding of ancestors?	0	No		nan	0:No;1:Yes	
SD11_11	sika1262	Is there/are  there (a) ritual place(s)?	1	Yes	the rumah adat	nan	1:Yes	
SD11_2	sika1262	Did your ancestors arrive as sea animals? (shark, crocodile, turtle, dolphin)	0	No		nan	0:No;1:Yes	
SD11_3	sika1262	Is there a myth about the origin of the people?	1	Yes	ancestors who came out of the ground	nan	0:No;1:Yes	
SD11_4	sika1262	Are there traditional religious leaders or specialists?	0	No	catholic pastor 	nan	0:No;1:Yes	
SD11_5	sika1262	Are there traditional drinks, or stimulants?	1	Yes	arak, tuak, sirih pinang	nan	1:Yes	
SD11_6	sika1262	Is there a traditional sacrifice place?	1	Yes		nan	1:Yes	
SD11_7	sika1262	Are there rituals around birth?	1	Yes	Traditional midwife = molan. Baby must stay inside the house for 5 days. This period is referred to as Lohor dedi.	nan	0:No;1:Yes	
SD11_8	sika1262	Are there rituals around death?	1	Yes	Named Agoan (check recording)	nan	1:Yes	
SD11_9	sika1262	Are there seasonal rituals apart from planting and harvesting, for example is there a ritual to ask for rain? Or other rituals?	1	Yes	ri': after harvest of the rice in the garden, kebek bakur: after harvest of the rice in the rumah adat; pleba watar: at the harvest of the corn	nan	1:Yes	
SD12_0	sika1262	Do women traditionally weave?	1	Yes		nan	0:No;1:Yes	
SD12_1	sika1262	Is there traditional pottery?	1	Yes		nan	0:No;1:Yes	
SD12_2	sika1262	Are there moko?	0	No		nan	0:No;1:Yes	
SD12_3	sika1262	Is it allowed to exchange the moko?	0	No		nan	0:No;1:Yes	
SD12_4	sika1262	Are there people who make new moko?	0	No		nan	0:No	
SD12_5	sika1262	Are there traditional music instruments?	1	Yes	gong, gendang: are played when the men are dancing	nan	0:No;1:Yes	
SD12_6	sika1262	Are there particular traditional music styles?	1	Yes		nan	0:No;1:Yes;10:yes > no	
SD13_0	sika1262	Do people use body paint or tattoo?	0	No		nan	0:No;1:Yes	
SD13_1	sika1262	Were teeth traditionally filed? (i.e. made shorter with a file)	0	No		nan	0:No;1:Yes	
SD13_2	sika1262	Are there typical traditional haircuts?	0	No		nan	0:No;1:Yes	
SD13_3	sika1262	Traditional piercings?	1	Yes	only ears	nan	0:No;1:Yes	
SD13_4	sika1262	Are feathers or beads used as adornments?	1	Yes	chicken feathers are used in men's headpiece	nan	0:No;1:Yes	
SD13_5	sika1262	Is there traditional jewelry?	0	No		nan	0:No;1:Yes	
SD13_6	sika1262	Is there special adornment used in rituals or ceremonies?	1	Yes	men wear a kalambali (=headpiece) made from lontar leaf and chicken feathers, women wear a headpiece made of wool, their hair in a konde and a comb in between the head and the konde.	nan	1:Yes;10:yes > no	
SD14_0	sika1262	Is spatial organization divided into primary and secondary type?	0	No	east: wali, west: ripa; south: lau, north: reta	nan	0:No;2:Primary;1:Yes	
SD14_1	sika1262	Are there conceptual connections between spatial directions such as E+S / W + N with male/female, or with day/night, or with right/left?	0	No		nan	0:No;1:Yes	
SD1_0	sika1262	Do adults in this village typically speak more than one local language?	1	Yes	Lamaholot, B Indonesia (teachers or students that come home)	nan	0:No;1:Yes	
SD1_1	sika1262	Do children typically speak more than one local language?	1	Yes	B Indonesia, Sika, Hewa	nan	0:No;1:Yes	
SD1_2	sika1262	Is it common in this village that husband and wife have different languages?	0	No	It does occur but it is more common to have Hewa-Hewa marriages	nan	0:No;1:Yes	
SD1_3	sika1262	Does a wife learn to speak the language of her husband?	1	Yes	If the wife is not Hewa she may learn Hewa but it is not necessary 	nan	1:Yes	
SD1_4	sika1262	Does a husband learn to speak the language of his wife?	1	Yes	If the husband is not Hewa he may learn Hewa but it is not necessary	nan	0:No;1:Yes	
SD1_5	sika1262	Do they communicate with a third language?	1	Yes		nan	0:No;1:Yes;2:yes / no	
SD2_0	sika1262	Do people traditionally hunt?	1	Yes	0.6	nan	1:Yes	
SD2_1	sika1262	Do people traditionally fish in the sea?	1	Yes	0.4	nan	0:No;1:Yes	
SD2_2	sika1262	Do people traditionally have animal husbandry?	1	Yes	pig, goat, chicken, duck	nan	1:Yes	
SD2_3	sika1262	Do people traditionally have agriculture?	1	Yes		nan	1:Yes	
SD2_4	sika1262	Intensity of cultivation?	3	3		nan	2:2;4:2 / 3;7:2 / 3 / 4;5:2 > 3 /4;3:3;6:3 / 4	
SD2_5	sika1262	Major crops?	10	1 / 2		nan	1:1;10:1 / 2;11:1 / 2 / 3;13:1 / 2 / 3 / 4;14:1 / 2 / 4;15:1 / 3;12:1 / 4;16:1 /2 /4;2:2	
SD3_0	sika1262	Are there clans?	1	Yes	Hewa has 27 clans; including: Liwu, Boru, Rotan, Soge, Ipir, Widin, Uran, Tapun, Kei, Pu'e, Maau, Liwu Maran, Soge Getei, Liwu Getei, Liwi Kur, Lewuk.	nan	1:Yes	
SD3_1	sika1262	Are there moieties?	0	No		nan	0:No;1:Yes	
SD3_2	sika1262	Is there a concept of 'house' (uma/rumah) that equals a descent group?	0	No		nan	0:No;1:Yes	
SD3_3	sika1262	Are clans matrilineal	0	No		nan	2:???;0:No;1:Yes	
SD3_4	sika1262	Are clans, subclans or lineages ranked	1	Yes	Widin are autochtonous, the original kings, they are the most important. Followed by the Soge. The remaining 24 clans are in the middle. The Tapun are the lowest in rank. They are the newcomers, the smallest group, and considered not much fun to talk to. 	nan	0:No;1:Yes	
SD3_5	sika1262	Does every clan speak their own language?	0	No		nan	0:No	
SD4_0	sika1262	Is real property (land) inherited?	1	Yes		nan	1:Yes	
SD4_1	sika1262	Did one person (lord / clan) originally own all the land?	1	Yes		nan	0:No;1:Yes	
SD4_1	sika1262	Did one person (lord / clan) originally own all the land?	1	Yes	The Widin clan.	nan	0:No;1:Yes	
SD4_2	sika1262	Are there inheritance rules?	1	Yes	everything goes to (eldest) son	nan	1:Yes	
SD4_3	sika1262	Is land inheritance matrilineal (sister's sons; sister's younger brother)?	0	No		nan	0:No;1:Yes	
SD4_4	sika1262	Is land inheritance patrilineal (sons)?	1	Yes		nan	0:No;1:Yes	
SD4_5	sika1262	Is moveable property inheritance matrilineal (sister's sons; sister's younger brother)?	0	No		nan	0:No;1:Yes	
SD4_6	sika1262	Is moveable property inheritance patrilineal?	1	Yes		nan	0:No;1:Yes	
SD4_7	sika1262	Do all children inherit, sons and daughters alike?	0	No		nan	0:No;1:Yes	
SD4_8	sika1262	Do all children inherit, with daughters receiving less?	0	No	It may happen but only if the son feels pity for his sister(s).	nan	0:No;1:Yes	
SD4_9	sika1262	Can newcomers aquire land or gardens?	1	Yes	They buy from the owner.	nan	0:No;1:Yes	
SD5_0	sika1262	At what age should young people get married?	14	20-30 men /16-28 women	20-30 men (most around 24); 16-28 women (most around 18)	nan	13:17-30+ men / 13-25 women;10:20+ men / 20+ women;16:20-25 men / 17-18 women;18:20-30 men / 16-28 women;14:20-30 men /16-28 women;11:25-30 men / 18-30 women;17:27-28 men / 27-28 women;20:30 men / 20 women > 17-19 men / 15 women;12:30 men / 25 women;19:30+ men / 20+ women > 25 men / 20+ women ;15:30+ men / 30+ women > 17-20+ men / 16-20+ women;1:Yes	
SD5_1	sika1262	Are there marriage rules – specify in notes field	1	Yes	1. Certain clans do not marry each other: Widin-Soge is forbidden, Liwu-Plu'e is forbidden, Kei-Ipir is forbidden. 2. Marriage between cousins is always forbidden.	nan	1:Yes;2:Yes > no	
SD5_10	sika1262	Is there gift exchange between bride's and groom's sides?	1	Yes	sirih pinang, tembako kasar, beras, ayam bakar, arak 1 bottle, 1 male goat	nan	0:No;1:Yes	
SD5_11	sika1262	Is there bride service?	1	Yes		nan	0:No;1:Yes	
SD5_12	sika1262	Transfer of residence at marriage?	4	1 / 3	Wife moves to husband's group only if the bridewealth is paid, otherwise the husband moves into the wife's group until it is paid.	nan	1:1;4:1 / 3;2:2;3:3	
SD5_13	sika1262	Marital residence with kin?	1	1		nan	1:1;7:1 / 3;3:3;6:3 / 5;5:5	
SD5_14	sika1262	Are traditional marriages obligatorily exogamous?	0	No		nan	0:No;1:Yes	
SD5_15	sika1262	If mother dies, who raises the children?	10	Father and/or his family		nan	12:Father and his family.;10:Father and/or his family;11:Mother and/or her family	
SD5_2	sika1262	Does a man typically marry a woman of his mother's subclan?	0	No		nan	0:No;1:Yes	
SD5_3	sika1262	Does a woman typicaly marry a man of her father’s subclan?	0	No		nan	0:No	
SD5_5	sika1262	Are there locality-based restrictions on marriage	0	No		nan	0:No;1:Yes	
SD5_6	sika1262	Was polygamy permitted	1	Yes		nan	0:No;1:Yes;2:yes > no	
SD5_7	sika1262	Was polyandry permitted?	0	No		nan	0:No	
SD5_8	sika1262	Is bridewealth paid by the groom's side to the bride's side	1	Yes	Ivory; if that is not available, then money	nan	1:Yes	
SD5_9	sika1262	Is dowry paid by the bride's side to the groom's side	1	Yes	a ring, clothes for the wedding	nan	1:Yes	
SD6_0	sika1262	Are villages the typical settlement pattern?	1	Yes		nan	0:No;1:Yes;2:no > yes	
SD6_1	sika1262	Are dispersed solitary family homesteads the typical settlement pattern?	2	yes > no	Until the 1970's the people of Hewa lived in 8 different places. Now there are still 4 groups living elsewhere outside the village.	nan	0:No;1:Yes;2:yes > no	
SD6_2	sika1262	Are settlements permanent?	1	Yes		nan	1:Yes	
SD6_3	sika1262	Are villages/hamlets centered on a group of related women	1	Yes		nan	0:No;1:Yes	
SD6_4	sika1262	Mean size of local communities?	6	6	1227	nan	2:2;10:4 /5;5:5;6:6	
SD6_5	sika1262	Are villages/hamlets centered on a group of related men?	0	No		nan	0:No;1:Yes	
SD6_6	sika1262	Are villages/hamlets (traditionally) located on hill tops?	0	No	they can be in the mountains but not necessarily on hilltops	nan	0:No;1:Yes	
SD6_7	sika1262	Are villages/hamlets (tradtionally) located on the shore?	0	No	They can be on the shore but this is not necessary. 	nan	0:No;1:Yes	
SD6_8	sika1262	Do villages have places or spaces for gatherings?	2	2	kantor desa, church	nan	1:1;13:1 / 2;11:1 / 2 / 3;12:1 /3;2:2;10:They do	
SD7_0	sika1262	Shape of (traditional) houses?	1	1		nan	1:1;2:1 / 2	
SD7_1	sika1262	Floor level of traditional houses?	3	3		nan	1:1;4:1 / 2;2:2;3:3	
SD7_2	sika1262	Shape of roof of traditional houses?	3	1 / 4		nan	3:1 / 4;2:2;4:4	
SD7_3	sika1262	Is there an attic or loft in a traditional house?	0	No		nan	0:No;1:Yes	
SD8_0	sika1262	Do leaders come from particular lineages?	0	No		nan	0:No;1:Yes	
SD8_1	sika1262	Are leaders non-hereditary?	1	1		nan	1:1;2:2;0:No;3:yes > no / 1	
SD8_10	sika1262	Are there groups with whom traditional relations are forbidden?	0	No		nan	0:No;1:Yes	
SD8_11	sika1262	Are there groups with whom there has been war?	1	Yes	There was a guerilla war against the Japanese. The Dua Toru made the guns. There have also been wars with the Lewo Ingo about land rights. In these fights, Koa Boru from Hewa was the hero. 	nan	0:No;1:Yes	
SD8_12	sika1262	Is there an opposition between people of the interior and people of the shore?	1	Yes	Original Hewa are the Ketan from the coast. There are differences in appearances and in the ceremonies of the coast and those inland. On the coast, they keep all the ceremonies, whereas not all of them are kept inland. On the coast, special groups have special tasks, e.g.Boru Dera are the cutters of meat, the Lotar and Ona are the people who serve the food.	nan	0:No;1:Yes	
SD8_3	sika1262	Are there female community/clan leaders	0	No		nan	0:No	
SD8_4	sika1262	Are there men’s houses	0	No		nan	0:No;1:Yes;10:yes > no	
SD8_5	sika1262	Are there (traditional)   rulers/kings?	0	No	the Widin clan derives from the traditional ancestor king.	nan	0:No;1:Yes	
SD8_6	sika1262	Are there slaves?	0	No		nan	0:No;1:Yes	
SD8_7	sika1262	Is there a concept for both ruler and foreigner, stranger king?	0	No		nan	0:No	
SD8_8	sika1262	Are there traditional relations/alliances with one or more neighbouring groups?	1	Yes	Trade relations with Larantuka, Sika, Boru; barter exchange of rice and corn	nan	0:No;1:Yes	
SD8_9	sika1262	Is there a special name for this alliance?	0	No		nan	0:No;1:Yes;2:talipasa	
SD9_0	sika1262	Is namesake ritually marked, or with features reminiscent of particular kinship relations?	1	Yes	after 1 month, by the parents	nan	10:Given Abui name upon birth given by  parents;0:No;1:Yes	
SD9_1	sika1262	Do descent groups own sets of personal names?	1	Yes	first name is free, second name is the father's name if he has paid bridewealth already; if not then the second name is the mothers. 	nan	0:No;1:Yes;2:yes / no	
SD9_2	sika1262	Are names taken from the father's group?	1	Yes	If the bridewealth is paid	nan	2:Father's group;0:No;1:Yes	
SD9_3	sika1262	Are names taken from the mother's group?	1	Yes	If the bridewealth is not paid	nan	0:No;1:Yes	
SD9_4	sika1262	Are there name taboos?	0	No		nan	0:No;1:Yes	
SD9_5	sika1262	Are there particular relations not to be addressed, or mentioned, by name	0	No		nan	0:No;1:Yes	
SD9_6	sika1262	did your language (or a group of people defined by speaking the language) traditionally have a name, other than a locality name	1	Yes	Ami Hewat Lewo Rotan, Ami Gui Nata Guhar.	nan	0:No;1:Yes	
SD9_7	sika1262	Is there a special word to refer to a foreigner?	1	Yes	bleka	nan	0:No;1:Yes	
