CultureBank ID	Feature	Possible Values	Clarifying Comments	Domain	Feature patron	Suggested standardised comments	Feature prompt in Indonesian	Very hard to deny	Prone to misunderstandings among researchers	Last edited	ID/Reference according to other cultural databases	db_Object	db_Domain	Feature question in Indonesian
SD4_5	Is moveable property inheritance matrilineal (sister's sons; sister's younger brother)?	0:No;1:Yes		Inheritance			Apakah pewarisan benda bergerak, seperti kuda, perahu, dan sepeda motor bersifat mengutamakan anak perempuan?			26/09/2016 09:54		Is moveable property inheritance matrilineal (sister's sons; sister's younger brother)?	{'?': <DomainElement 'SD4_5-?'>, '0': <DomainElement 'SD4_5-0'>, '1': <DomainElement 'SD4_5-1'>}	
SD4_6	Is moveable property inheritance patrilineal?	0:No;1:Yes		Inheritance			Apakah pewarisan benda bergerak, seperti kuda, perahu, dan sepeda motor bersifat mengutamakan anak laki-laki?			26/09/2016 09:54		Is moveable property inheritance patrilineal?	{'?': <DomainElement 'SD4_6-?'>, '0': <DomainElement 'SD4_6-0'>, '1': <DomainElement 'SD4_6-1'>}	
SD4_7	Do all children inherit, sons and daughters alike?	0:No;1:Yes		Inheritance			Apakah semua anak, baik laki-laki maupun perempuan, mendapatkan warisan yang sama?			26/09/2016 09:54		Do all children inherit, sons and daughters alike?	{'?': <DomainElement 'SD4_7-?'>, '0': <DomainElement 'SD4_7-0'>, '1': <DomainElement 'SD4_7-1'>}	
SD4_8	Do all children inherit, with daughters receiving less?	0:No;1:Yes		Inheritance			Apakah semua anak, baik laki-laki maupun perempuan, mendapatkan warisan dengan anak perempuan menerima lebih sedikit?			26/09/2016 09:54		Do all children inherit, with daughters receiving less?	{'?': <DomainElement 'SD4_8-?'>, '0': <DomainElement 'SD4_8-0'>, '1': <DomainElement 'SD4_8-1'>}	
SD4_9	Can newcomers aquire land or gardens?	0:No;1:Yes		Inheritance			Orang pendatang bisa memiliki tanah atau kebun di sini? Bagaimana orang dari luar bisa menjadi pemilik tanah di desa ini?			26/09/2016 09:54		Can newcomers aquire land or gardens?	{'?': <DomainElement 'SD4_9-?'>, '0': <DomainElement 'SD4_9-0'>, '1': <DomainElement 'SD4_9-1'>}	
SD5_0	At what age should young people get married?	13:17-30+ men / 13-25 women;10:20+ men / 20+ women;16:20-25 men / 17-18 women;18:20-30 men / 16-28 women;14:20-30 men /16-28 women;11:25-30 men / 18-30 women;17:27-28 men / 27-28 women;20:30 men / 20 women > 17-19 men / 15 women;12:30 men / 25 women;19:30+ men / 20+ women > 25 men / 20+ women ;15:30+ men / 30+ women > 17-20+ men / 16-20+ women;1:Yes	Difference between boys and girls?	Marriage 			Di usia berapa seorang pemuda dan pemudi diharuskan untuk menikah? Di desa ini, pemuda paling muda menikah di usia berapa dan pemuda paling tua menikah di usia berapa? Di desa ini, pemudi paling muda menikah di usia berapa dan pemudi paling tua menikah di usia berapa?			26/09/2016 09:54		At what age should young people get married?	{'13': <DomainElement 'SD5_0-13'>, '11': <DomainElement 'SD5_0-11'>, '17': <DomainElement 'SD5_0-17'>, '19': <DomainElement 'SD5_0-19'>, '16': <DomainElement 'SD5_0-16'>, '?': <DomainElement 'SD5_0-?'>, '10': <DomainElement 'SD5_0-10'>, '18': <DomainElement 'SD5_0-18'>, '12': <DomainElement 'SD5_0-12'>, '15': <DomainElement 'SD5_0-15'>, '1': <DomainElement 'SD5_0-1'>, '20': <DomainElement 'SD5_0-20'>, '14': <DomainElement 'SD5_0-14'>}	
SD5_1	Are there marriage rules – specify in notes field	1:Yes;2:Yes > no	i.e. cannot marry category X, or must/should marry Y	Marriage 			Ceriteralah tentang peraturan menyankut hubungan kawin-mawin? Contoh: Ada hubungan kawin yg dianggap paling baik/cocok, dan  yg dianggap kurang  baik/tidak cocok? Ada hubungan yg dilarang sama sekali? Isterinya pindah ke sukunya suami, atau laki-laki pindah ke sukunya isteri?			26/09/2016 09:54		Are there marriage rules – specify in notes field	{'?': <DomainElement 'SD5_1-?'>, '2': <DomainElement 'SD5_1-2'>, '1': <DomainElement 'SD5_1-1'>}	
SD5_10	Is there gift exchange between bride's and groom's sides?	0:No;1:Yes	Food, drink?	Marriage 			Apakah ada tukar hadiah antara pengantin perempuan dan pengantin laki-laki?			26/09/2016 09:54		Is there gift exchange between bride's and groom's sides?	{'?': <DomainElement 'SD5_10-?'>, '0': <DomainElement 'SD5_10-0'>, '1': <DomainElement 'SD5_10-1'>}	
SD5_11	Is there bride service?	0:No;1:Yes	Service rendered to the bride's family by the bridegroom as a bride-price or part of a bride-price.	Marriage 			Apakah ada syarat-syarat tertentu yang harus dilakukan oleh pengantin laki-laki kepada pengantin perempuan? Contohnya adalah layanan yang dilakukan keluarga pengantin laki-laki kepada keluarga pengantin perempuan.			26/09/2016 09:54		Is there bride service?	{'?': <DomainElement 'SD5_11-?'>, '0': <DomainElement 'SD5_11-0'>, '1': <DomainElement 'SD5_11-1'>}	
SD5_12	Transfer of residence at marriage?	1:1;4:1 / 3;2:2;3:3	1) wife to husband's group 2) optional for couple 3) husband to wife's group	Marriage 			Setelah menikah, apakah pasangan pengantin pindah rumah?			26/09/2016 09:54		Transfer of residence at marriage?	{'3': <DomainElement 'SD5_12-3'>, '2': <DomainElement 'SD5_12-2'>, '4': <DomainElement 'SD5_12-4'>, '?': <DomainElement 'SD5_12-?'>, '1': <DomainElement 'SD5_12-1'>}	
SD5_13	Marital residence with kin?	1:1;7:1 / 3;3:3;6:3 / 5;5:5	1) with husbands or wife's unilineal kin group 2) with wife's mother's brother group 3) with husbands or wife's parents 4) optional: with either set of parents 5) do not reside with relatives 	Marriage 			Setelah menikah, apakah pasangan pengantin tinggal dengan keluarga atau tinggal sendiri?			26/09/2016 09:54		Marital residence with kin?	{'?': <DomainElement 'SD5_13-?'>, '6': <DomainElement 'SD5_13-6'>, '3': <DomainElement 'SD5_13-3'>, '7': <DomainElement 'SD5_13-7'>, '5': <DomainElement 'SD5_13-5'>, '1': <DomainElement 'SD5_13-1'>}	
SD5_14	Are traditional marriages obligatorily exogamous?	0:No;1:Yes	Obligatory exogamy is that one MUST marry outside of ones clan.	Marriage 			Apakah seorang pemuda boleh menikah dengan wanita dari satu suku dengan dirinya atau boleh menikah dengan wanita dari suku yang lain?			26/09/2016 09:54		Are traditional marriages obligatorily exogamous?	{'?': <DomainElement 'SD5_14-?'>, '0': <DomainElement 'SD5_14-0'>, '1': <DomainElement 'SD5_14-1'>}	
SD5_15	If mother dies, who raises the children?	12:Father and his family.;10:Father and/or his family;11:Mother and/or her family		Marriage 			Jika ibu meninggal dunia, siapa yang akan merawat anak? Bagaimana jika ayah menikah lagi?			26/09/2016 09:54		If mother dies, who raises the children?	{'10': <DomainElement 'SD5_15-10'>, '?': <DomainElement 'SD5_15-?'>, '11': <DomainElement 'SD5_15-11'>, '12': <DomainElement 'SD5_15-12'>}	
SD5_2	Does a man typically marry a woman of his mother's subclan?	0:No;1:Yes	A man's fathers wifegivers (= his mothers subclan) also provide his wife (asymmetric matrilateral cross-cousin).	Marriage 			Apakah para laki-laki muda (pemuda) biasanya menikahi wanita dari suku kerabat ibunya?			26/09/2016 09:54		Does a man typically marry a woman of his mother's subclan?	{'?': <DomainElement 'SD5_2-?'>, '0': <DomainElement 'SD5_2-0'>, '1': <DomainElement 'SD5_2-1'>}	
SD5_3	Does a woman typicaly marry a man of her father’s subclan?	0:No	(this causes pairs or sets of clans to be more closely allied over time)	Marriage 			Kalau anak perempuan menikah, harus menikah dengan laki-laki dari suku atau marga bapaknya?			26/09/2016 09:54		Does a woman typicaly marry a man of her father’s subclan?	{'?': <DomainElement 'SD5_3-?'>, '0': <DomainElement 'SD5_3-0'>}	
SD5_5	Are there locality-based restrictions on marriage	0:No;1:Yes	e.g. cannot marry within the village	Marriage 			Ada pembatasan pernikahan terkait dengan tempat tinggal? Contoh: anak dari kampong ini tidak boleh nikah dengan anak sini. 			26/09/2016 09:54		Are there locality-based restrictions on marriage	{'?': <DomainElement 'SD5_5-?'>, '0': <DomainElement 'SD5_5-0'>, '1': <DomainElement 'SD5_5-1'>}	
SD5_6	Was polygamy permitted	0:No;1:Yes;2:yes > no		Marriage 			Menurut adat, apakah laki-laki boleh menikah dengan dua atau tiga isteri?			26/09/2016 09:54		Was polygamy permitted	{'?': <DomainElement 'SD5_6-?'>, '2': <DomainElement 'SD5_6-2'>, '0': <DomainElement 'SD5_6-0'>, '1': <DomainElement 'SD5_6-1'>}	
SD5_7	Was polyandry permitted?	0:No	a woman marrying more than one man	Marriage 			Menurut adat, apakah perempuan boleh menikah dengan dua atau tiga suami?			26/09/2016 09:54		Was polyandry permitted?	{'?': <DomainElement 'SD5_7-?'>, '0': <DomainElement 'SD5_7-0'>}	
SD5_8	Is bridewealth paid by the groom's side to the bride's side	1:Yes	check the local term for this, and the type of goods that are exchanged (e.g. horses, pigs, goats, money, gongs, moko, food?)	Marriage 			Apakah belis dibayar oleh pihak laki-laki kepada pihak perempuan?			26/09/2016 09:54		Is bridewealth paid by the groom's side to the bride's side	{'?': <DomainElement 'SD5_8-?'>, '1': <DomainElement 'SD5_8-1'>}	
SD5_9	Is dowry paid by the bride's side to the groom's side	1:Yes	check the local term for this, exchange of e.g. sarong adat, kebaya, jewelry?	Marriage 			Apakah mas kawin dibayar oleh pihak perempuan kepada pihak laki-laki?			26/09/2016 09:54		Is dowry paid by the bride's side to the groom's side	{'?': <DomainElement 'SD5_9-?'>, '1': <DomainElement 'SD5_9-1'>}	
SD6_0	Are villages the typical settlement pattern?	0:No;1:Yes;2:no > yes	Villages are compact and relatively permanent settlements; more homes together, typically centred on one or more open spaces.	Settlement patterns			Apakah masyarakat di desa ini biasanya memiliki pola tempat tinggal yang berpindah-pindah atau tidak selamanya menetap di suatu tempat?			26/09/2016 09:54		Are villages the typical settlement pattern?	{'?': <DomainElement 'SD6_0-?'>, '2': <DomainElement 'SD6_0-2'>, '0': <DomainElement 'SD6_0-0'>, '1': <DomainElement 'SD6_0-1'>}	
SD6_1	Are dispersed solitary family homesteads the typical settlement pattern?	0:No;1:Yes;2:yes > no		Settlement patterns			Apakah di desa ini ada kelompok-kelompok masyarakat yang tinggal secara terpisah (separate)  dan tidak menyatu dengan penduduk desa pada umumnya? Apakah di desa ini ada keluarga yang hidup terpisah dari penduduk desa yang menetap di desa? Ada berapa keluarga yang hidup terpisah?			26/09/2016 09:54		Are dispersed solitary family homesteads the typical settlement pattern?	{'?': <DomainElement 'SD6_1-?'>, '2': <DomainElement 'SD6_1-2'>, '0': <DomainElement 'SD6_1-0'>, '1': <DomainElement 'SD6_1-1'>}	
SD6_2	Are settlements permanent?	1:Yes		Settlement patterns			Apakah penduduk di desa ini menetap secara permanen di rumah-rumah mereka?			26/09/2016 09:54		Are settlements permanent?	{'?': <DomainElement 'SD6_2-?'>, '1': <DomainElement 'SD6_2-1'>}	
SD6_3	Are villages/hamlets centered on a group of related women	0:No;1:Yes	This is a result of matrilocal post-marital residence.	Settlement patterns			Apakah rumah-rumah warga berpusat dengan kelompok yang memiliki wanita-wanita/istri-istri yang saling berkerabat? Contohnya adalah beberapa rumah yang lokasinya saling berdekatan memiliki keluarga yang masing-masing istrinya memiliki hubungan kekerabatan keluarga yang erat.			26/09/2016 09:54		Are villages/hamlets centered on a group of related women	{'?': <DomainElement 'SD6_3-?'>, '0': <DomainElement 'SD6_3-0'>, '1': <DomainElement 'SD6_3-1'>}	
SD6_4	Mean size of local communities?	2:2;10:4 /5;5:5;6:6	1) fewer than 50, 2) 50-100, 3) 100-200, 4) 200-400, 5) 400-1000, 6) 1000-5000, 7) 5,000-50,000, 8) larger than 50,000	Settlement patterns			Jumlah penduduk lokal yang tinggal di desa ini ada berapa?			26/09/2016 09:54		Mean size of local communities?	{'10': <DomainElement 'SD6_4-10'>, '2': <DomainElement 'SD6_4-2'>, '6': <DomainElement 'SD6_4-6'>, '5': <DomainElement 'SD6_4-5'>, '?': <DomainElement 'SD6_4-?'>}	
SD6_5	Are villages/hamlets centered on a group of related men?	0:No;1:Yes	Result of patrilocal post-marital residence	Settlement patterns			Apakah rumah-rumah warga berpusat dengan kelompok yang memiliki pria-pria/suami-suami yang saling berkerabat? Contohnya adalah beberapa rumah yang lokasinya saling berdekatan memiliki keluarga yang masing-masing suaminya memiliki hubungan kekerabatan keluarga yang erat.			26/09/2016 09:54		Are villages/hamlets centered on a group of related men?	{'?': <DomainElement 'SD6_5-?'>, '0': <DomainElement 'SD6_5-0'>, '1': <DomainElement 'SD6_5-1'>}	
SD6_6	Are villages/hamlets (traditionally) located on hill tops?	0:No;1:Yes		Settlement patterns			Apakah desa-desa berlokasi di pegunungan?			26/09/2016 09:54		Are villages/hamlets (traditionally) located on hill tops?	{'?': <DomainElement 'SD6_6-?'>, '0': <DomainElement 'SD6_6-0'>, '1': <DomainElement 'SD6_6-1'>}	
SD6_7	Are villages/hamlets (tradtionally) located on the shore?	0:No;1:Yes		Settlement patterns			Apakah desa-desa berlokasi di pantai?			26/09/2016 09:54		Are villages/hamlets (tradtionally) located on the shore?	{'?': <DomainElement 'SD6_7-?'>, '0': <DomainElement 'SD6_7-0'>, '1': <DomainElement 'SD6_7-1'>}	
SD6_8	Do villages have places or spaces for gatherings?	1:1;13:1 / 2;11:1 / 2 / 3;12:1 /3;2:2;10:They do	1) rectangular ground for ritual activities and public meetings 2) building for public meetings such as church or mosque 3) mound of stones functioning as sacrificial altar 	Settlement patterns			Apakah ada ruang terbuka/tertutup untuk upacara adat, pertemuan, rapat, atau berkumpul para warga desa?			26/09/2016 09:54		Do villages have places or spaces for gatherings?	{'?': <DomainElement 'SD6_8-?'>, '13': <DomainElement 'SD6_8-13'>, '11': <DomainElement 'SD6_8-11'>, '2': <DomainElement 'SD6_8-2'>, '12': <DomainElement 'SD6_8-12'>, '10': <DomainElement 'SD6_8-10'>, '1': <DomainElement 'SD6_8-1'>}	
SD7_0	Shape of (traditional) houses?	1:1;2:1 / 2	1) Rectangular, square 2) (Semi) circular 3) Quadrangular around an inner court	Dwelling (House)			Bagaimana bentuk rumah adat di desa ini? Apakah Anda bisa menggambarkan bentuk rumah adat desa ini?			26/09/2016 09:54		Shape of (traditional) houses?	{'?': <DomainElement 'SD7_0-?'>, '2': <DomainElement 'SD7_0-2'>, '1': <DomainElement 'SD7_0-1'>}	
SD7_1	Floor level of traditional houses?	1:1;4:1 / 2;2:2;3:3	1) floor formed by ground 2) elevated slightly or on raised platform 3) raised substantially on piles, posts, or piers	Dwelling (House)			Bagaimana tingkatan lantai atau bentuk lantai dalam rumah adat?			26/09/2016 09:54		Floor level of traditional houses?	{'3': <DomainElement 'SD7_1-3'>, '2': <DomainElement 'SD7_1-2'>, '4': <DomainElement 'SD7_1-4'>, '?': <DomainElement 'SD7_1-?'>, '1': <DomainElement 'SD7_1-1'>}	
SD7_2	Shape of roof of traditional houses?	3:1 / 4;2:2;4:4	1) rounded or semi cylindrical 2) hipped or pyramidical (four slopes) 4) two slopes, 5) flat, 6) other?	Dwelling (House)			Bagaimana bentuk atap rumah adat?			26/09/2016 09:54		Shape of roof of traditional houses?	{'3': <DomainElement 'SD7_2-3'>, '2': <DomainElement 'SD7_2-2'>, '4': <DomainElement 'SD7_2-4'>, '?': <DomainElement 'SD7_2-?'>}	
SD7_3	Is there an attic or loft in a traditional house?	0:No;1:Yes	If there is, what is it used for?	Dwelling (House)			Apakah ada kamar loteng di rumah adat? Apakah ada kamar di bawah lantai rumah adat, seperti di bawah rumah panggung?			26/09/2016 09:54		Is there an attic or loft in a traditional house?	{'?': <DomainElement 'SD7_3-?'>, '0': <DomainElement 'SD7_3-0'>, '1': <DomainElement 'SD7_3-1'>}	
SD8_0	Do leaders come from particular lineages?	0:No;1:Yes	patrilineal, matrilineal	Political system			Tentang ketua adat di sini: mereka keturunan dari satu marga atau satu keluarga? 			26/09/2016 09:54		Do leaders come from particular lineages?	{'?': <DomainElement 'SD8_0-?'>, '0': <DomainElement 'SD8_0-0'>, '1': <DomainElement 'SD8_0-1'>}	
SD8_1	Are leaders non-hereditary?	1:1;2:2;0:No;3:yes > no / 1	1) election or formal consensus 2) wealth, social status	Political system			Ketua adat di sini: siapa yang bisa menjadi ketua adat atau kepala? 			26/09/2016 09:54		Are leaders non-hereditary?	{'3': <DomainElement 'SD8_1-3'>, '2': <DomainElement 'SD8_1-2'>, '0': <DomainElement 'SD8_1-0'>, '?': <DomainElement 'SD8_1-?'>, '1': <DomainElement 'SD8_1-1'>}	
SD8_10	Are there groups with whom traditional relations are forbidden?	0:No;1:Yes		Political system			Apakah ada orang lain yang tidak boleh berhubungan adat dengan orang di sini?			26/09/2016 09:54		Are there groups with whom traditional relations are forbidden?	{'?': <DomainElement 'SD8_10-?'>, '0': <DomainElement 'SD8_10-0'>, '1': <DomainElement 'SD8_10-1'>}	
SD8_11	Are there groups with whom there has been war?	0:No;1:Yes		Political system			Apakah orang di sini pernah berperang dengan orang lain?			26/09/2016 09:54		Are there groups with whom there has been war?	{'?': <DomainElement 'SD8_11-?'>, '0': <DomainElement 'SD8_11-0'>, '1': <DomainElement 'SD8_11-1'>}	
SD8_12	Is there an opposition between people of the interior and people of the shore?	0:No;1:Yes		Political system			Apakah ada perbedaan adat antara orang dari gunung (orang pendalaman) dan orang yg tinggal di pinggir laut?			26/09/2016 09:54		Is there an opposition between people of the interior and people of the shore?	{'?': <DomainElement 'SD8_12-?'>, '0': <DomainElement 'SD8_12-0'>, '1': <DomainElement 'SD8_12-1'>}	
SD8_3	Are there female community/clan leaders	0:No		Political system			Apakah ada perkumpulan perempuan/suku perempuan? apakah ada pemimpin perempuan dalam suku?			26/09/2016 09:54		Are there female community/clan leaders	{'?': <DomainElement 'SD8_3-?'>, '0': <DomainElement 'SD8_3-0'>}	
SD8_4	Are there men’s houses	0:No;1:Yes;10:yes > no		Political system			Apakah ada rumah (adat) khusus untuk laki-laki?			26/09/2016 09:54		Are there men’s houses	{'10': <DomainElement 'SD8_4-10'>, '?': <DomainElement 'SD8_4-?'>, '0': <DomainElement 'SD8_4-0'>, '1': <DomainElement 'SD8_4-1'>}	
SD8_5	Are there (traditional)   rulers/kings?	0:No;1:Yes	Hereditary? Non-hereditary?	Political system			Ada raja?			26/09/2016 09:54		Are there (traditional)   rulers/kings?	{'?': <DomainElement 'SD8_5-?'>, '0': <DomainElement 'SD8_5-0'>, '1': <DomainElement 'SD8_5-1'>}	
SD8_6	Are there slaves?	0:No;1:Yes	Hereditary? Non-hereditary?	Political system			Apakah ada budak?			26/09/2016 09:54		Are there slaves?	{'?': <DomainElement 'SD8_6-?'>, '0': <DomainElement 'SD8_6-0'>, '1': <DomainElement 'SD8_6-1'>}	
SD8_7	Is there a concept for both ruler and foreigner, stranger king?	0:No	E.g. malai in Fataluku denotes both king & foreigner.	Political system			Apakah ada kata adat yang bermaksud seorang raja yang asal dari luar? Dulu, menurut ceritera adat, ada seorang raja pendatang?			26/09/2016 09:54		Is there a concept for both ruler and foreigner, stranger king?	{'?': <DomainElement 'SD8_7-?'>, '0': <DomainElement 'SD8_7-0'>}	
SD8_8	Are there traditional relations/alliances with one or more neighbouring groups?	0:No;1:Yes	Specify.	Political system			Apakah ada hubungan/persekutuan adat dengan orang di tempat lain? 			26/09/2016 09:54		Are there traditional relations/alliances with one or more neighbouring groups?	{'?': <DomainElement 'SD8_8-?'>, '0': <DomainElement 'SD8_8-0'>, '1': <DomainElement 'SD8_8-1'>}	
SD8_9	Is there a special name for this alliance?	0:No;1:Yes;2:talipasa	Alliance relation between Kedang and Blagar is called bela baja (Gomang 1993; Barnes 2001: 279).	Political system			Ada nama / kata khusus untuk menunjukan hubungan/ persekutuan itu?			26/09/2016 09:54		Is there a special name for this alliance?	{'?': <DomainElement 'SD8_9-?'>, '2': <DomainElement 'SD8_9-2'>, '0': <DomainElement 'SD8_9-0'>, '1': <DomainElement 'SD8_9-1'>}	
SD9_0	Is namesake ritually marked, or with features reminiscent of particular kinship relations?	10:Given Abui name upon birth given by  parents;0:No;1:Yes		Naming practices			Kalau seanak bayi lahir, kapan dikasih nama? Siapa yang kasih nama kepada anak itu?   			26/09/2016 09:54		Is namesake ritually marked, or with features reminiscent of particular kinship relations?	{'10': <DomainElement 'SD9_0-10'>, '?': <DomainElement 'SD9_0-?'>, '0': <DomainElement 'SD9_0-0'>, '1': <DomainElement 'SD9_0-1'>}	
SD9_1	Do descent groups own sets of personal names?	0:No;1:Yes;2:yes / no		Naming practices			Ada nama yg khusus untuk orang dari satu marga atau suku? Nama yang khusus utk orang yg tinggal di desa ini?			26/09/2016 09:54		Do descent groups own sets of personal names?	{'?': <DomainElement 'SD9_1-?'>, '2': <DomainElement 'SD9_1-2'>, '0': <DomainElement 'SD9_1-0'>, '1': <DomainElement 'SD9_1-1'>}	
SD9_2	Are names taken from the father's group?	2:Father's group;0:No;1:Yes		Naming practices			Anak dapat nama dari bapaknya atau dari ibunya?			26/09/2016 09:54		Are names taken from the father's group?	{'?': <DomainElement 'SD9_2-?'>, '2': <DomainElement 'SD9_2-2'>, '0': <DomainElement 'SD9_2-0'>, '1': <DomainElement 'SD9_2-1'>}	
SD9_3	Are names taken from the mother's group?	0:No;1:Yes		Naming practices			Apakah nama-nama bayi diambil dari keluarga ibunya?			26/09/2016 09:54		Are names taken from the mother's group?	{'?': <DomainElement 'SD9_3-?'>, '0': <DomainElement 'SD9_3-0'>, '1': <DomainElement 'SD9_3-1'>}	
SD9_4	Are there name taboos?	0:No;1:Yes		Naming practices			Ada nama yang dilarang dikasih kepada anak?			26/09/2016 09:54		Are there name taboos?	{'?': <DomainElement 'SD9_4-?'>, '0': <DomainElement 'SD9_4-0'>, '1': <DomainElement 'SD9_4-1'>}	
SD9_5	Are there particular relations not to be addressed, or mentioned, by name	0:No;1:Yes		Naming practices			Ada orang yang tidak boleh disebut atau dipanggil dengan namanya? Contoh: anak tidak boleh panggil neneknya dengan nama; nama ibu mertua - nama menantu?)			26/09/2016 09:54		Are there particular relations not to be addressed, or mentioned, by name	{'?': <DomainElement 'SD9_5-?'>, '0': <DomainElement 'SD9_5-0'>, '1': <DomainElement 'SD9_5-1'>}	
SD9_6	did your language (or a group of people defined by speaking the language) traditionally have a name, other than a locality name	0:No;1:Yes		Naming practices			Apakah ada beberapa nama untuk bahasa di sini? Apakah nama adat untuk bahasa di sini? Contoh: Bahasa bisa disebut dengan nama kampung adat, atau nama suku? Nama marga? Nama Indonesia?			26/09/2016 09:54		did your language (or a group of people defined by speaking the language) traditionally have a name, other than a locality name	{'?': <DomainElement 'SD9_6-?'>, '0': <DomainElement 'SD9_6-0'>, '1': <DomainElement 'SD9_6-1'>}	
SD9_7	Is there a special word to refer to a foreigner?	0:No;1:Yes		Naming practices			Ada kata khusus untuk orang asing, orang dari Java, orang dari pulau yang lain?  			26/09/2016 09:54		Is there a special word to refer to a foreigner?	{'?': <DomainElement 'SD9_7-?'>, '0': <DomainElement 'SD9_7-0'>, '1': <DomainElement 'SD9_7-1'>}	
